iter	Passed	Remaining
0	0	349
1	0	303
2	0	315
3	1	322
4	1	316
5	1	303
6	2	302
7	2	297
8	2	294
9	5	541
10	5	515
11	6	494
12	6	475
13	6	456
14	6	441
15	7	434
16	7	423
17	7	412
18	7	403
19	8	393
20	8	385
21	8	376
22	8	370
23	8	364
24	9	359
25	9	355
26	9	351
27	9	345
28	10	341
29	10	336
30	10	332
31	10	329
32	11	329
33	11	326
34	11	323
35	11	320
36	12	318
37	12	315
38	12	312
39	12	310
40	13	307
41	13	305
42	13	305
43	13	303
44	14	301
45	14	300
46	14	298
47	14	296
48	15	295
49	15	294
50	15	292
51	15	291
52	16	289
53	16	288
54	16	288
55	17	287
56	17	285
57	17	284
58	17	283
59	17	281
60	18	280
61	18	279
62	18	277
63	18	276
64	19	275
65	19	273
66	19	272
67	19	269
68	19	268
69	20	267
70	20	266
71	20	265
72	20	264
73	21	263
74	21	262
75	21	261
76	21	260
77	21	259
78	22	258
79	22	256
80	22	256
81	22	255
82	23	254
83	23	253
84	23	251
85	23	250
86	23	249
87	23	248
88	24	247
89	24	246
90	24	245
91	24	245
92	25	245
93	25	245
94	25	244
95	25	244
96	26	243
97	26	242
98	26	242
99	26	241
100	27	241
101	27	239
102	27	239
103	27	239
104	28	239
105	28	238
106	28	238
107	28	237
108	29	237
109	29	236
110	29	236
111	29	235
112	29	235
113	30	235
114	30	235
115	30	234
116	30	233
117	31	233
118	31	232
119	31	232
120	31	232
121	32	231
122	32	230
123	32	229
124	32	229
125	32	228
126	33	228
127	33	227
128	33	227
129	33	226
130	34	227
131	34	226
132	34	226
133	34	225
134	35	225
135	35	224
136	35	224
137	35	223
138	36	223
139	36	223
140	36	222
141	36	222
142	37	222
143	37	221
144	37	221
145	37	221
146	38	221
147	38	220
148	38	221
149	38	220
150	39	220
151	39	220
152	39	219
153	39	219
154	40	219
155	40	219
156	40	218
157	41	218
158	41	218
159	41	218
160	41	217
161	42	217
162	42	217
163	42	216
164	42	217
165	43	217
166	43	218
167	44	218
168	44	217
169	44	217
170	44	217
171	45	216
172	45	216
173	45	216
174	45	216
175	46	216
176	46	216
177	47	217
178	47	217
179	47	217
180	47	216
181	48	216
182	48	216
183	48	215
184	48	215
185	49	215
186	49	215
187	49	214
188	49	214
189	50	214
190	50	214
191	50	214
192	51	213
193	51	213
194	51	213
195	51	212
196	52	212
197	52	212
198	52	212
199	52	211
200	53	211
201	53	211
202	53	211
203	54	210
204	54	210
205	54	210
206	54	210
207	55	209
208	55	209
209	55	209
210	55	209
211	56	209
212	56	208
213	56	208
214	57	208
215	57	207
216	57	207
217	57	207
218	57	206
219	58	206
220	58	206
221	58	205
222	59	205
223	59	205
224	59	205
225	59	204
226	60	204
227	60	204
228	60	203
229	60	203
230	61	203
231	61	202
232	61	202
233	61	202
234	62	202
235	62	202
236	62	201
237	63	202
238	63	201
239	63	201
240	63	201
241	64	200
242	64	200
243	64	200
244	65	200
245	65	200
246	65	199
247	65	199
248	66	199
249	66	198
250	66	198
251	66	198
252	67	197
253	67	197
254	67	197
255	67	197
256	68	196
257	68	196
258	68	196
259	68	196
260	69	195
261	69	195
262	69	195
263	70	195
264	70	194
265	70	194
266	70	194
267	71	194
268	71	194
269	71	193
270	71	193
271	72	193
272	72	193
273	72	192
274	73	192
275	73	192
276	73	192
277	73	191
278	74	191
279	74	191
280	74	190
281	74	190
282	75	190
283	75	190
284	75	189
285	75	189
286	76	189
287	76	189
288	76	188
289	77	188
290	77	188
291	77	187
292	77	187
293	78	187
294	78	187
295	78	187
296	78	186
297	79	186
298	79	186
299	79	186
300	79	185
301	80	185
302	80	185
303	80	185
304	81	184
305	81	184
306	81	183
307	81	183
308	81	183
309	82	182
310	82	182
311	82	182
312	82	181
313	83	181
314	83	181
315	83	181
316	83	180
317	84	180
318	84	180
319	84	179
320	84	179
321	85	179
322	85	179
323	85	178
324	85	178
325	86	178
326	86	177
327	86	177
328	86	177
329	87	176
330	87	176
331	87	176
332	87	176
333	88	175
334	88	175
335	88	175
336	88	174
337	89	174
338	89	174
339	89	174
340	89	173
341	90	173
342	90	173
343	90	172
344	90	172
345	91	172
346	91	172
347	91	172
348	92	172
349	92	171
350	92	171
351	93	171
352	93	171
353	93	170
354	93	170
355	94	170
356	94	170
357	94	169
358	94	169
359	95	169
360	95	168
361	95	168
362	95	168
363	95	167
364	96	167
365	96	167
366	96	166
367	96	166
368	97	165
369	97	165
370	97	165
371	97	164
372	97	164
373	98	164
374	98	163
375	98	163
376	98	163
377	99	163
378	99	162
379	99	162
380	99	161
381	99	161
382	100	161
383	100	161
384	100	160
385	100	160
386	101	160
387	101	159
388	101	159
389	101	159
390	102	158
391	102	158
392	102	158
393	102	158
394	103	157
395	103	157
396	103	157
397	103	156
398	104	156
399	104	156
400	104	156
401	104	155
402	105	155
403	105	155
404	105	155
405	105	154
406	106	154
407	106	154
408	106	154
409	106	153
410	107	153
411	107	153
412	107	152
413	107	152
414	108	152
415	108	152
416	108	151
417	108	151
418	109	151
419	109	151
420	109	150
421	110	150
422	110	150
423	110	150
424	110	149
425	110	149
426	111	149
427	111	148
428	111	148
429	111	148
430	112	147
431	112	147
432	112	147
433	112	146
434	112	146
435	113	146
436	113	146
437	113	146
438	114	145
439	114	145
440	114	145
441	114	145
442	115	144
443	115	144
444	115	144
445	115	143
446	115	143
447	116	143
448	116	142
449	116	142
450	116	142
451	117	141
452	117	141
453	117	141
454	117	141
455	117	140
456	118	140
457	118	140
458	118	139
459	118	139
460	119	139
461	119	139
462	119	138
463	119	138
464	120	138
465	120	138
466	120	137
467	120	137
468	121	137
469	121	136
470	121	136
471	121	136
472	122	136
473	122	135
474	122	135
475	123	135
476	123	135
477	123	134
478	123	134
479	124	134
480	124	134
481	124	133
482	124	133
483	124	133
484	125	132
485	125	132
486	125	132
487	126	132
488	126	132
489	126	131
490	126	131
491	127	131
492	127	130
493	127	130
494	127	130
495	128	130
496	128	129
497	128	129
498	128	129
499	129	129
500	129	128
501	129	128
502	129	128
503	129	127
504	130	127
505	130	127
506	130	127
507	131	126
508	131	126
509	131	126
510	131	126
511	132	125
512	132	125
513	132	125
514	132	125
515	133	124
516	133	124
517	133	124
518	133	124
519	134	123
520	134	123
521	134	123
522	135	123
523	135	123
524	135	122
525	135	122
526	136	122
527	136	121
528	136	121
529	137	121
530	137	121
531	137	121
532	137	120
533	138	120
534	138	120
535	139	120
536	139	120
537	139	120
538	140	119
539	140	119
540	140	119
541	140	119
542	141	118
543	141	118
544	141	118
545	141	117
546	142	117
547	142	117
548	142	117
549	142	116
550	143	116
551	143	116
552	143	116
553	143	115
554	144	115
555	144	115
556	144	115
557	144	114
558	145	114
559	145	114
560	145	114
561	146	113
562	146	113
563	146	113
564	146	113
565	147	112
566	147	112
567	147	112
568	148	112
569	148	111
570	148	111
571	148	111
572	149	111
573	149	110
574	149	110
575	149	110
576	150	110
577	150	109
578	150	109
579	150	109
580	151	109
581	151	108
582	151	108
583	152	108
584	152	108
585	152	107
586	152	107
587	153	107
588	153	107
589	153	106
590	153	106
591	154	106
592	154	106
593	154	105
594	155	105
595	155	105
596	155	105
597	155	104
598	156	104
599	156	104
600	156	103
601	156	103
602	157	103
603	157	103
604	157	102
605	157	102
606	158	102
607	158	102
608	158	101
609	158	101
610	159	101
611	159	101
612	159	100
613	159	100
614	160	100
615	160	100
616	160	99
617	161	99
618	161	99
619	161	99
620	161	98
621	162	98
622	162	98
623	162	98
624	162	97
625	163	97
626	163	97
627	163	96
628	163	96
629	164	96
630	164	96
631	164	95
632	164	95
633	165	95
634	165	95
635	165	94
636	166	94
637	166	94
638	166	94
639	166	93
640	167	93
641	167	93
642	167	93
643	167	92
644	168	92
645	168	92
646	168	92
647	168	91
648	169	91
649	169	91
650	169	90
651	169	90
652	170	90
653	170	90
654	170	89
655	170	89
656	170	89
657	171	88
658	171	88
659	171	88
660	171	88
661	172	87
662	172	87
663	172	87
664	172	87
665	172	86
666	173	86
667	173	86
668	173	85
669	173	85
670	174	85
671	174	85
672	174	84
673	174	84
674	175	84
675	175	83
676	175	83
677	175	83
678	176	83
679	176	82
680	176	82
681	176	82
682	177	82
683	177	81
684	177	81
685	177	81
686	178	81
687	178	80
688	178	80
689	179	80
690	179	80
691	179	79
692	179	79
693	180	79
694	180	79
695	180	78
696	181	78
697	181	78
698	181	78
699	181	77
700	182	77
701	182	77
702	182	77
703	183	76
704	183	76
705	183	76
706	183	76
707	183	75
708	184	75
709	184	75
710	184	75
711	185	74
712	185	74
713	185	74
714	185	74
715	186	73
716	186	73
717	186	73
718	187	73
719	187	72
720	187	72
721	187	72
722	188	72
723	188	71
724	188	71
725	188	71
726	189	71
727	189	70
728	189	70
729	189	70
730	190	69
731	190	69
732	190	69
