iter	Passed	Remaining
0	59	59446
1	59	29893
2	60	20029
3	60	15097
4	60	12138
5	61	10169
6	61	8761
7	62	7701
8	62	6876
9	62	6218
10	63	5681
11	63	5231
12	63	4856
13	64	4541
14	65	4272
15	65	4027
16	65	3808
17	66	3613
18	66	3437
19	66	3278
20	67	3135
21	67	3005
22	67	2887
23	68	2778
24	68	2679
25	69	2586
26	69	2500
27	69	2421
28	70	2356
29	70	2290
30	71	2229
31	71	2168
32	72	2111
33	72	2059
34	72	2007
35	73	1960
36	73	1915
37	73	1872
38	74	1831
39	74	1792
40	75	1755
41	75	1720
42	75	1688
43	76	1656
44	76	1625
45	77	1597
46	77	1568
47	77	1541
48	78	1516
49	78	1491
50	78	1467
51	79	1443
52	79	1421
53	79	1399
54	80	1378
55	80	1359
56	81	1342
57	81	1324
58	81	1307
59	82	1290
60	82	1273
61	83	1257
62	83	1241
63	83	1226
64	84	1212
65	84	1198
66	85	1184
67	85	1170
68	85	1157
69	86	1145
70	86	1134
71	87	1123
72	87	1111
73	87	1099
74	88	1088
75	88	1077
76	88	1066
77	89	1057
78	89	1047
79	90	1037
80	91	1033
81	91	1024
82	91	1012
83	92	1005
84	92	996
85	92	988
86	93	979
87	93	971
88	94	963
89	94	956
90	95	949
91	95	941
92	95	934
93	96	926
94	96	920
95	97	913
96	97	907
97	97	901
98	98	894
99	98	888
100	99	882
101	99	876
102	99	870
103	100	864
104	100	858
105	101	853
106	101	847
107	101	842
108	102	837
109	102	832
110	103	826
111	103	822
112	104	817
113	104	812
114	105	808
115	105	803
116	105	798
117	106	794
118	106	789
119	107	785
120	107	781
121	108	777
122	108	773
123	109	770
124	109	766
125	109	762
126	110	758
127	110	754
128	111	750
129	111	746
130	112	743
131	112	739
132	112	736
133	113	732
134	113	729
135	114	726
136	114	724
137	115	721
138	116	719
139	116	716
140	117	713
141	117	708
142	117	706
143	118	704
144	119	702
145	119	698
146	119	695
147	120	692
148	120	689
149	121	686
150	121	683
151	122	682
152	122	679
153	123	677
154	123	674
155	124	672
156	124	669
157	125	667
