iter	Passed	Remaining
0	59	59552
1	60	29949
2	60	20068
3	60	15113
4	61	12143
5	61	10165
6	61	8751
7	61	7687
8	62	6858
9	62	6199
10	62	5656
11	63	5203
12	63	4822
13	63	4493
14	64	4206
15	64	3956
16	64	3736
17	64	3539
18	65	3363
19	65	3206
20	65	3063
21	66	2934
22	66	2815
23	66	2707
24	66	2608
25	67	2515
26	67	2430
27	67	2351
28	68	2277
29	68	2208
30	68	2143
31	68	2083
32	69	2025
33	69	1972
34	69	1922
35	69	1874
36	70	1829
37	70	1786
38	70	1746
39	71	1709
40	71	1672
41	71	1638
42	72	1604
43	72	1572
44	72	1541
45	72	1512
46	73	1484
47	73	1458
48	73	1433
49	74	1409
50	74	1385
51	74	1362
52	75	1340
53	75	1318
54	75	1297
55	75	1277
56	76	1258
57	76	1240
58	76	1222
59	76	1205
60	77	1188
61	77	1171
62	77	1155
63	77	1140
64	78	1125
65	78	1111
66	78	1097
67	79	1084
68	79	1070
69	79	1057
70	79	1045
71	80	1032
72	80	1021
73	80	1009
74	80	998
75	81	987
76	81	977
77	81	967
78	82	957
79	82	948
80	82	938
81	83	929
82	83	918
83	83	909
84	83	901
85	84	894
86	84	886
87	84	877
88	84	869
89	85	862
90	85	855
91	85	848
92	86	840
93	86	833
94	86	828
95	87	821
96	87	814
97	87	808
98	88	801
99	88	795
100	88	789
101	88	782
102	89	776
103	89	770
104	89	764
105	89	758
106	90	752
107	90	747
108	90	741
109	91	736
110	91	731
111	91	726
112	91	721
113	92	716
114	92	711
115	92	708
116	93	703
117	93	699
118	93	694
119	94	690
120	94	685
121	94	680
122	94	676
123	95	672
124	95	668
125	95	664
126	95	659
127	96	655
128	96	651
129	96	648
130	97	644
131	97	640
132	97	636
133	97	632
134	98	628
135	98	625
136	98	621
137	98	618
138	99	615
139	99	611
140	99	608
141	100	604
142	100	600
143	100	597
144	100	594
145	101	591
146	101	588
147	101	585
148	101	582
149	102	580
150	102	578
151	103	576
152	103	574
153	104	572
154	104	570
155	104	567
156	105	564
157	105	562
158	105	560
159	106	557
160	106	555
161	106	553
162	107	551
163	107	549
164	108	546
165	108	544
166	108	541
167	108	539
168	109	536
169	109	534
170	109	531
171	110	529
172	110	527
173	110	524
174	110	522
175	111	520
176	111	518
177	111	516
178	112	513
179	112	511
180	112	509
181	112	507
182	113	505
183	113	503
184	113	501
185	114	498
186	114	496
187	114	495
188	114	493
189	115	491
190	115	489
191	115	487
192	116	485
193	116	483
194	116	481
195	116	479
196	117	477
197	117	476
198	117	474
199	118	472
200	118	471
201	118	469
202	119	467
203	119	465
204	119	463
205	119	461
206	120	459
207	120	458
208	120	456
209	120	454
210	121	453
211	121	451
212	121	450
213	122	448
214	122	446
215	122	445
216	122	443
217	123	442
218	123	440
219	123	438
220	124	437
221	124	435
222	124	434
223	124	432
224	125	431
225	125	429
226	125	428
227	126	426
228	126	425
229	126	423
230	126	422
231	127	421
232	127	419
233	127	418
234	127	416
235	128	415
236	128	413
237	128	412
238	129	410
239	129	409
240	129	408
241	130	407
242	130	406
243	130	405
244	131	404
245	131	403
246	131	401
247	132	400
248	132	399
249	132	398
250	133	397
251	133	396
252	133	394
253	134	393
254	134	392
255	134	391
256	134	390
257	135	388
258	135	387
259	135	386
260	136	385
261	136	384
262	136	382
263	136	381
264	137	380
265	137	379
266	137	378
267	137	376
268	138	375
269	138	374
270	138	373
271	139	372
272	139	370
273	139	369
274	139	368
275	140	367
276	140	366
277	140	364
278	140	363
279	141	362
280	141	361
281	141	360
282	141	359
283	142	358
284	142	357
285	142	356
286	142	354
287	143	353
288	143	352
289	143	351
